Reference_Stratum,Comparison_Stratum,Metric,Reference_Numerator,Reference_Denominator,Reference_Unknown,Reference_Percent,Comparison_Numerator,Comparison_Denominator,Comparison_Unknown,Comparison_Percent,Absolute_Percentage_Point_Difference,Interpretation
PERIOD:2008-2016,PERIOD:2019-2025,FINITE_UPPER_AGE_LIMIT,149,440,14,33.863636,256,644,23,39.751553,5.887917,DESCRIPTIVE_ONLY
PERIOD:2008-2016,PERIOD:2019-2025,ELIGIBLE_85_RECONCILED,324,440,16,73.636364,415,644,20,64.440994,-9.19537,DESCRIPTIVE_ONLY
PERIOD:2008-2016,PERIOD:2019-2025,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,179,440,121,40.681818,334,644,170,51.863354,11.181536,DESCRIPTIVE_ONLY
PERIOD:2008-2016,PERIOD:2019-2025,RANDOMIZED,310,440,2,70.454545,413,644,0,64.130435,-6.32411,DESCRIPTIVE_ONLY
PERIOD:2008-2016,PERIOD:2019-2025,COMPLETED,269,440,0,61.136364,246,644,0,38.198758,-22.937606,DESCRIPTIVE_ONLY
DISEASE:VLU_ACTIVE_TREATMENT,DISEASE:PI_PREVENTION,FINITE_UPPER_AGE_LIMIT,84,304,7,27.631579,58,184,10,31.521739,3.89016,DESCRIPTIVE_ONLY
DISEASE:VLU_ACTIVE_TREATMENT,DISEASE:PI_PREVENTION,ELIGIBLE_85_RECONCILED,240,304,6,78.947368,125,184,10,67.934783,-11.012585,DESCRIPTIVE_ONLY
DISEASE:VLU_ACTIVE_TREATMENT,DISEASE:PI_PREVENTION,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,83,304,111,27.302632,117,184,47,63.586957,36.284325,DESCRIPTIVE_ONLY
DISEASE:VLU_ACTIVE_TREATMENT,DISEASE:PI_PREVENTION,RANDOMIZED,229,304,1,75.328947,120,184,0,65.217391,-10.111556,DESCRIPTIVE_ONLY
DISEASE:VLU_ACTIVE_TREATMENT,DISEASE:PI_PREVENTION,COMPLETED,145,304,0,47.697368,106,184,0,57.608696,9.911328,DESCRIPTIVE_ONLY
